,player_pos,collision,current_direction,current_drift,level_done,input_noise_magnitude,input_noise_threshold,visible_obstacles,visible_drift_tiles
97,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 796])]]"
98,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 786])]]"
99,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 776])]]"
100,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 766])]]"
101,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 756])]]"
102,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 746])]]"
103,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 736])]]"
104,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 726])]]"
105,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 716])]]"
106,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 706])]]"
107,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 696]), array([1030,  836])]]"
108,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 686]), array([1030,  826])]]"
109,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 676]), array([1030,  816])]]"
110,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 666]), array([1030,  806])]]"
111,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 656]), array([1030,  796])]]"
112,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 646]), array([1030,  786])]]"
113,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 636]), array([1030,  776])]]"
114,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 626]), array([1030,  766])]]"
115,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 616]), array([1030,  756])]]"
116,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 606]), array([1030,  746])]]"
117,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 596]), array([1030,  736])]]"
118,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 586]), array([1030,  726])]]"
119,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 576]), array([1030,  716])]]"
120,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 566]), array([1030,  706])]]"
121,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 556]), array([1030,  696])]]"
122,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 546]), array([1030,  686])]]"
123,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 536]), array([1030,  676])]]"
124,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 526]), array([1030,  666])]]"
125,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 516]), array([1030,  656])]]"
126,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 506]), array([1030,  646])]]"
127,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 496]), array([1030,  636])]]"
128,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 486]), array([1030,  626])]]"
129,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 476]), array([1030,  616])]]"
130,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 466]), array([1030,  606])]]"
131,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 456]), array([1030,  596])]]"
132,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([348, 446]), array([1025,  586])]]"
133,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([343, 436]), array([1020,  576])]]"
134,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([338, 426]), array([1015,  566])]]"
135,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([333, 416]), array([1010,  556])]]"
136,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([328, 406]), array([1005,  546])]]"
137,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323, 396]), array([1000,  536])]]"
138,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([318, 386]), array([995, 526])]]"
139,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([313, 376]), array([990, 516])]]"
140,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([308, 366]), array([985, 506])]]"
141,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([303, 356]), array([980, 496])]]"
142,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([298, 346]), array([975, 486])]]"
143,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([298, 336]), array([975, 476]), array([298, 840])]]"
144,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([298, 326]), array([975, 466]), array([298, 830])]]"
145,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([298, 316]), array([975, 456]), array([298, 820])]]"
146,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([302, 306]), array([979, 446]), array([302, 810])]]"
147,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([306, 296]), array([983, 436]), array([306, 800])]]"
148,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([310, 286]), array([987, 426]), array([310, 790])]]"
149,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([314, 276]), array([991, 416]), array([314, 780])]]"
150,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([328, 266]), array([1005,  406]), array([328, 770])]]"
151,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342, 256]), array([1019,  396]), array([342, 760])]]"
152,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([346, 246]), array([1023,  386]), array([346, 750])]]"
153,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([350, 236]), array([1027,  376]), array([350, 740])]]"
154,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([354, 226]), array([1031,  366]), array([354, 730])]]"
155,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([358, 216]), array([1035,  356]), array([358, 720])]]"
156,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([362, 206]), array([1039,  346]), array([362, 710])]]"
157,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([362, 196]), array([1039,  336]), array([362, 700])]]"
158,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([362, 186]), array([1039,  326]), array([362, 690])]]"
159,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([362, 176]), array([1039,  316]), array([362, 680])]]"
160,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([362, 166]), array([1039,  306]), array([362, 670])]]"
161,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([362, 156]), array([1039,  296]), array([362, 660])]]"
162,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([362, 146]), array([1039,  286]), array([362, 650])]]"
163,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([362, 136]), array([1039,  276]), array([362, 640])]]"
164,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([362, 126]), array([1039,  266]), array([362, 630])]]"
165,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([352, 116]), array([1029,  256]), array([352, 620])]]"
166,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342, 106]), array([1019,  246]), array([342, 610])]]"
167,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342,  96]), array([1019,  236]), array([342, 600])]]"
168,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342,  86]), array([1019,  226]), array([342, 590])]]"
169,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342,  76]), array([1019,  216]), array([342, 580])]]"
170,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342,  66]), array([1019,  206]), array([342, 570])]]"
171,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342,  56]), array([1019,  196]), array([342, 560])]]"
172,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342,  46]), array([1019,  186]), array([342, 550])]]"
173,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342,  36]), array([1019,  176]), array([342, 540])]]"
174,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342,  26]), array([1019,  166]), array([342, 530])]]"
175,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342,  16]), array([1019,  156]), array([342, 520])]]"
176,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([342,   6]), array([1019,  146]), array([342, 510])]]"
177,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([1019,  136]), array([342, 500])]]"
178,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([1019,  126]), array([342, 490])]]"
179,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([1019,  116]), array([342, 480])]]"
180,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([1019,  106]), array([342, 470])]]"
181,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([1019,   96]), array([342, 460])]]"
182,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([1014,   86]), array([337, 450])]]"
183,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([1009,   76]), array([332, 440])]]"
184,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([1004,   66]), array([327, 430])]]"
185,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([999,  56]), array([322, 420])]]"
186,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([994,  46]), array([317, 410])]]"
187,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([989,  36]), array([312, 400])]]"
188,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([984,  26]), array([307, 390])]]"
189,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([979,  16]), array([302, 380])]]"
190,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([974,   6]), array([297, 370])]]"
191,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([292, 360])]]"
192,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 350])]]"
193,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 340])]]"
194,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 330])]]"
195,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 320])]]"
196,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 310])]]"
197,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 300])]]"
198,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 290])]]"
199,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 280])]]"
200,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 270])]]"
201,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 260])]]"
202,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 250])]]"
203,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 240])]]"
204,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 230])]]"
205,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 220])]]"
206,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 210])]]"
207,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 200])]]"
208,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 190])]]"
209,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 180])]]"
210,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 170])]]"
211,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([287, 160])]]"
212,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([296, 150])]]"
213,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([305, 140])]]"
214,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([314, 130])]]"
215,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323, 120])]]"
216,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323, 110])]]"
